AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
0,0,0,0,0,0,0,0,0,0,0,0
0,148,4116,0,2,5,0,2,928,0,2,1153
0,105,6576,0,15,494,0,21,3288,0,0,750
0,0,0,0,0,0,0,0,0,0,0,0
5,7297,65784,0,428,2351,0,1243,14771,1,90,10425
0,0,0,0,0,0,0,0,0,0,0,0
14,2167,20573,1,264,1067,3,312,4989,0,3,3366
0,644,10770,0,143,993,0,511,4735,0,0,2926
4,22,6629,0,1,177,1,3,2904,0,0,1657
0,0,0,0,0,0,0,0,0,0,0,0
3,278,9664,0,64,598,0,150,3066,0,20,2422
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
10,3005,17009,0,524,1181,0,1624,8240,0,59,4958
0,37,13014,0,14,466,0,22,4284,0,0,2505
2,58,34442,0,61,776,0,12,6113,0,0,7630
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,7,301,0,0,0,0,0,24,0,0,22
0,0,0,0,0,0,0,0,0,0,0,0
0,148,16441,0,57,101,0,207,4353,0,8,2733
0,0,0,0,0,0,0,0,0,0,0,0
0,103,10190,0,20,658,0,33,3196,0,1,1454
0,0,0,0,0,0,0,0,0,0,0,0
7,463,4650,0,58,479,2,77,2066,0,19,1222
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
8,30,3221,1,14,1,21,39,3011,0,0,229
5,85,2886,0,13,0,18,158,4106,2,0,160
25,178,10970,0,48,10,48,130,5476,13,0,1050
9,31,970,0,3,0,17,44,834,1,0,38
7,70,1763,0,22,2,17,23,905,1,0,157
12,46,1836,0,16,14,7,47,1451,3,0,205
19,16,1064,0,0,0,21,5,505,0,0,99
34,115,6221,1,39,5,32,134,1972,5,0,559
7,51,2141,0,9,0,8,73,1445,3,0,232
14,38,5862,0,7,2,40,117,1805,6,0,656
11,20,578,0,0,0,14,65,406,0,0,113
2,197,4770,0,25,1,16,262,3543,2,0,278
11,127,5444,0,10,1,29,192,1681,0,0,799
5,35,622,0,0,0,17,65,359,2,0,118
12,7,1683,0,0,0,25,72,1276,4,0,94
21,83,8623,0,25,2,14,199,4241,0,0,837
18,43,856,0,0,0,14,23,644,0,0,93
6,19,867,0,0,0,11,18,755,0,0,66
8,13,1352,0,0,0,21,76,1138,2,0,154
4,1,121,0,0,0,9,2,161,0,0,27
5,16,2032,0,1,0,6,41,543,0,0,106
9,102,2964,0,1,3,14,202,1288,2,0,527
11,35,5444,2,0,1,20,94,2327,8,0,520
9,107,2648,0,3,0,20,58,1859,0,0,168
10,30,594,1,2,0,13,46,343,0,0,67
4,1,175,0,0,0,24,11,214,3,0,32
